Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Bulk Actual Temp (C),Crystal Score,,_out_predicted,modelname,participantname,notes,class_probability
34,C,5,C5,110,4,,2,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Reproducing Runs - 1_24 from - 2018-08-21T00_41_41.669916+00_00_LBL,
38,D,5,D5,110,4,,2,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Reproducing Runs - 1_24 from - 2018-08-21T00_41_41.669916+00_00_LBL,
35,E,5,E5,110,3,,3,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Reproducing Runs - 1_24 from - 2018-08-21T00_41_41.669916+00_00_LBL,
39,F,5,F5,110,2,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Reproducing Runs - 1_24 from - 2018-08-21T00_41_41.669916+00_00_LBL,
36,G,5,G5,110,4,,2,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Reproducing Runs - 1_24 from - 2018-08-21T00_41_41.669916+00_00_LBL,
40,H,5,H5,110,3,,2,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Reproducing Runs - 1_24 from - 2018-08-21T00_41_41.669916+00_00_LBL,
41,A,6,A6,110,3,,2,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Reproducing Runs - 1_24 from - 2018-08-21T00_41_41.669916+00_00_LBL,
45,B,6,B6,110,2,,2,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Reproducing Runs - 1_24 from - 2018-08-21T00_41_41.669916+00_00_LBL,
42,C,6,C6,110,4,,2,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Reproducing Runs - 1_24 from - 2018-08-21T00_41_41.669916+00_00_LBL,
46,D,6,D6,110,3,,2,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Reproducing Runs - 1_24 from - 2018-08-21T00_41_41.669916+00_00_LBL,
