material_composite_description	material_component_description	addressable
Plate: 96 Well	96 Well Plate well#: H2	TRUE
Plate: 96 Well	96 Well Plate well#: H3	TRUE
Plate: 96 Well	96 Well Plate well#: H4	TRUE
Plate: 96 Well	96 Well Plate well#: H5	TRUE
Plate: 96 Well	96 Well Plate well#: H6	TRUE
Plate: 96 Well	96 Well Plate well#: H7	TRUE
Plate: 96 Well	96 Well Plate well#: H8	TRUE
Plate: 96 Well	96 Well Plate well#: H9	TRUE
Plate: 96 Well	96 Well Plate well#: H10	TRUE
Plate: 96 Well	96 Well Plate well#: H11	TRUE
Plate: 96 Well	96 Well Plate well#: H12	TRUE
Stock A	Lead Diiodide	FALSE
Stock A	Ethylammonium Iodide	FALSE
Stock A	Gamma-Butyrolactone	FALSE
Stock B	Ethylammonium Iodide	FALSE
Stock B	Gamma-Butyrolactone	FALSE
Stock FAH	Formic Acid	FALSE
Stock FAH	Water	FALSE
